  t   x   y   T
000 000 000 0.00 
000 001 000 0.00 
000 002 000 0.00 
000 003 000 0.00 
000 004 000 0.00 
000 005 000 0.00 
000 006 000 0.00 
000 007 000 0.00 
000 008 000 0.00 
000 009 000 0.00 
000 010 000 0.00 
000 011 000 0.00 
000 012 000 0.00 
000 013 000 0.00 
000 014 000 0.00 
000 015 000 0.00 
000 016 000 0.00 
000 017 000 0.00 
000 018 000 0.00 
000 019 000 0.00 
000 020 000 0.00 
000 021 000 0.00 
000 022 000 0.00 
000 023 000 0.00 
000 024 000 0.00 
000 025 000 0.00 
000 026 000 0.00 
000 027 000 0.00 
000 028 000 0.00 
000 029 000 0.00 
000 030 000 0.00 
000 031 000 0.00 
000 032 000 0.00 
000 033 000 0.00 
000 034 000 0.00 
000 035 000 0.00 
000 036 000 0.00 
000 037 000 0.00 
000 038 000 0.00 
000 039 000 0.00 
000 040 000 0.00 
000 041 000 0.00 
000 042 000 0.00 
000 043 000 0.00 
000 044 000 0.00 
000 045 000 0.00 
000 046 000 0.00 
000 047 000 0.00 
000 048 000 0.00 
000 049 000 0.00 
000 050 000 0.00 
000 000 001 0.00 
000 001 001 0.00 
000 002 001 0.00 
000 003 001 0.00 
000 004 001 0.00 
000 005 001 0.00 
000 006 001 0.00 
000 007 001 0.00 
000 008 001 0.00 
000 009 001 0.00 
000 010 001 0.00 
000 011 001 0.00 
000 012 001 0.00 
000 013 001 0.00 
000 014 001 0.00 
000 015 001 0.00 
000 016 001 0.00 
000 017 001 0.00 
000 018 001 0.00 
000 019 001 0.00 
000 020 001 0.00 
000 021 001 0.00 
000 022 001 0.00 
000 023 001 0.00 
000 024 001 0.00 
000 025 001 0.00 
000 026 001 0.00 
000 027 001 0.00 
000 028 001 0.00 
000 029 001 0.00 
000 030 001 0.00 
000 031 001 0.00 
000 032 001 0.00 
000 033 001 0.00 
000 034 001 0.00 
000 035 001 0.00 
000 036 001 0.00 
000 037 001 0.00 
000 038 001 0.00 
000 039 001 0.00 
000 040 001 0.00 
000 041 001 0.00 
000 042 001 0.00 
000 043 001 0.00 
000 044 001 0.00 
000 045 001 0.00 
000 046 001 0.00 
000 047 001 0.00 
000 048 001 0.00 
000 049 001 0.00 
000 050 001 0.00 
000 000 002 0.00 
000 001 002 0.00 
000 002 002 0.00 
000 003 002 0.00 
000 004 002 0.00 
000 005 002 0.00 
000 006 002 0.00 
000 007 002 0.00 
000 008 002 0.00 
000 009 002 0.00 
000 010 002 0.00 
000 011 002 0.00 
000 012 002 0.00 
000 013 002 0.00 
000 014 002 0.00 
000 015 002 0.00 
000 016 002 0.00 
000 017 002 0.00 
000 018 002 0.00 
000 019 002 0.00 
000 020 002 0.00 
000 021 002 0.00 
000 022 002 0.00 
000 023 002 0.00 
000 024 002 0.00 
000 025 002 0.00 
000 026 002 0.00 
000 027 002 0.00 
000 028 002 0.00 
000 029 002 0.00 
000 030 002 0.00 
000 031 002 0.00 
000 032 002 0.00 
000 033 002 0.00 
000 034 002 0.00 
000 035 002 0.00 
000 036 002 0.00 
000 037 002 0.00 
000 038 002 0.00 
000 039 002 0.00 
000 040 002 0.00 
000 041 002 0.00 
000 042 002 0.00 
000 043 002 0.00 
000 044 002 0.00 
000 045 002 0.00 
000 046 002 0.00 
000 047 002 0.00 
000 048 002 0.00 
000 049 002 0.00 
000 050 002 0.00 
000 000 003 0.00 
000 001 003 0.00 
000 002 003 0.00 
000 003 003 0.00 
000 004 003 0.00 
000 005 003 0.00 
000 006 003 0.00 
000 007 003 0.00 
000 008 003 0.00 
000 009 003 0.00 
000 010 003 0.00 
000 011 003 0.00 
000 012 003 0.00 
000 013 003 0.00 
000 014 003 0.00 
000 015 003 0.00 
000 016 003 0.00 
000 017 003 0.00 
000 018 003 0.00 
000 019 003 0.00 
000 020 003 0.00 
000 021 003 0.00 
000 022 003 0.00 
000 023 003 0.00 
000 024 003 0.00 
000 025 003 0.00 
000 026 003 0.00 
000 027 003 0.00 
000 028 003 0.00 
000 029 003 0.00 
000 030 003 0.00 
000 031 003 0.00 
000 032 003 0.00 
000 033 003 0.00 
000 034 003 0.00 
000 035 003 0.00 
000 036 003 0.00 
000 037 003 0.00 
000 038 003 0.00 
000 039 003 0.00 
000 040 003 0.00 
000 041 003 0.00 
000 042 003 0.00 
000 043 003 0.00 
000 044 003 0.00 
000 045 003 0.00 
000 046 003 0.00 
000 047 003 0.00 
000 048 003 0.00 
000 049 003 0.00 
000 050 003 0.00 
000 000 004 0.00 
000 001 004 0.00 
000 002 004 0.00 
000 003 004 0.00 
000 004 004 0.00 
000 005 004 0.00 
000 006 004 0.00 
000 007 004 0.00 
000 008 004 0.00 
000 009 004 0.00 
000 010 004 0.00 
000 011 004 0.00 
000 012 004 0.00 
000 013 004 0.00 
000 014 004 0.00 
000 015 004 0.00 
000 016 004 0.00 
000 017 004 0.00 
000 018 004 0.00 
000 019 004 0.00 
000 020 004 0.00 
000 021 004 0.00 
000 022 004 0.00 
000 023 004 0.00 
000 024 004 0.00 
000 025 004 0.00 
000 026 004 0.00 
000 027 004 0.00 
000 028 004 0.00 
000 029 004 0.00 
000 030 004 0.00 
000 031 004 0.00 
000 032 004 0.00 
000 033 004 0.00 
000 034 004 0.00 
000 035 004 0.00 
000 036 004 0.00 
000 037 004 0.00 
000 038 004 0.00 
000 039 004 0.00 
000 040 004 0.00 
000 041 004 0.00 
000 042 004 0.00 
000 043 004 0.00 
000 044 004 0.00 
000 045 004 0.00 
000 046 004 0.00 
000 047 004 0.00 
000 048 004 0.00 
000 049 004 0.00 
000 050 004 0.00 
000 000 005 0.00 
000 001 005 0.00 
000 002 005 0.00 
000 003 005 0.00 
000 004 005 0.00 
000 005 005 0.00 
000 006 005 0.00 
000 007 005 0.00 
000 008 005 0.00 
000 009 005 0.00 
000 010 005 0.00 
000 011 005 0.00 
000 012 005 0.00 
000 013 005 0.00 
000 014 005 0.00 
000 015 005 0.00 
000 016 005 0.00 
000 017 005 0.00 
000 018 005 0.00 
000 019 005 0.00 
000 020 005 0.00 
000 021 005 0.00 
000 022 005 0.00 
000 023 005 0.00 
000 024 005 0.00 
000 025 005 0.00 
000 026 005 0.00 
000 027 005 0.00 
000 028 005 0.00 
000 029 005 0.00 
000 030 005 0.00 
000 031 005 0.00 
000 032 005 0.00 
000 033 005 0.00 
000 034 005 0.00 
000 035 005 0.00 
000 036 005 0.00 
000 037 005 0.00 
000 038 005 0.00 
000 039 005 0.00 
000 040 005 0.00 
000 041 005 0.00 
000 042 005 0.00 
000 043 005 0.00 
000 044 005 0.00 
000 045 005 0.00 
000 046 005 0.00 
000 047 005 0.00 
000 048 005 0.00 
000 049 005 0.00 
000 050 005 0.00 
000 000 006 0.00 
000 001 006 0.00 
000 002 006 0.00 
000 003 006 0.00 
000 004 006 0.00 
000 005 006 0.00 
000 006 006 0.00 
000 007 006 0.00 
000 008 006 0.00 
000 009 006 0.00 
000 010 006 0.00 
000 011 006 0.00 
000 012 006 0.00 
000 013 006 0.00 
000 014 006 0.00 
000 015 006 0.00 
000 016 006 0.00 
000 017 006 0.00 
000 018 006 0.00 
000 019 006 0.00 
000 020 006 0.00 
000 021 006 0.00 
000 022 006 0.00 
000 023 006 0.00 
000 024 006 0.00 
000 025 006 0.00 
000 026 006 0.00 
000 027 006 0.00 
000 028 006 0.00 
000 029 006 0.00 
000 030 006 0.00 
000 031 006 0.00 
000 032 006 0.00 
